Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,15.69,15.69,15.69,47.07,15.69,3,47.07
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,8.89,8.89,8.89,26.67,8.89,4,35.56
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,19.89,19.89,19.89,59.67,19.89,2,39.78
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,17.98,17.98,17.98,53.94,17.98,3,53.94
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,3.89,3.89,3.89,11.67,3.89,3,11.67
FARINHA DE MAND. (1kg),marca,11,Pachá,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,4.99,4.99,4.99,14.97,4.99,1,4.99
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,5.98,,,5.98,5.98,4,23.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,5.98,,,5.98,5.98,1,5.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,10.98,,,10.98,10.98,9,98.82
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,23.98,,,23.98,23.98,0.2,4.796
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,8.89,8.89,,17.78,8.89,3,26.67
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,3.98,3.98,3.98,11.94,3.98,4,15.92
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,
,,25,2.59,2.59,2.59,7.77,2.59,2,5.18
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,11.98,,,11.98,11.98,6,71.88
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,6.98,6.98,,13.96,6.98,7.5,52.35
ÓLEO DE SOJA (900ml),marca,31,ABC,Soya,Total,Media,Quantidade,TOTAL,
,,31,9.99,9.99,9.99,29.97,9.99,5,49.95
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,4.69,4.69,4.69,14.07,4.69,7.5,35.175
LEITE EM PÓ (450g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,12.98,12.98,12.98,38.94,12.98,3,38.94
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,4.48,4.48,4.48,13.44,4.48,4,17.92
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,2.78,2.78,2.78,8.34,2.78,4,11.12
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Patinho,Total,Media,Quantidade,TOTAL,
,,41,41.98,41.98,41.98,125.94,41.98,3,125.94
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,25.98,25.98,25.98,77.94,25.98,4,103.92
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,9.98,9.98,9.98,29.94,9.98,5,49.9
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,12.98,12.98,12.98,38.94,12.98,0.5,6.49
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,49,12.58,12.58,12.58,37.74,12.58,0.3,3.774
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,
,,51,43.98,43.98,43.98,131.94,43.98,0.5,21.99
,,53,,,Total,Media,Quantidade,TOTAL,963.645
,,53,,,,,,,
SABÃO EM PÓ (500g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,5.19,5.19,5.19,15.57,5.19,4,20.76
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,57,2.49,2.49,,4.98,2.49,15,37.35
